_source_path,_row_index,id,externalId,name,main,roundNo,holes[0].par,holes[0].officialYardage,holes[0].actualYardage,holes[0].pinPlacement.x,holes[0].pinPlacement.y,holes[0].pinPlacement.z,holes[0].holeNo,holes[1].par,holes[1].officialYardage,holes[1].actualYardage,holes[1].pinPlacement.x,holes[1].pinPlacement.y,holes[1].pinPlacement.z,holes[1].holeNo,holes[2].par,holes[2].officialYardage,holes[2].actualYardage,holes[2].pinPlacement.x,holes[2].pinPlacement.y,holes[2].pinPlacement.z,holes[2].holeNo,holes[3].par,holes[3].officialYardage,holes[3].actualYardage,holes[3].pinPlacement.x,holes[3].pinPlacement.y,holes[3].pinPlacement.z,holes[3].holeNo,holes[4].par,holes[4].officialYardage,holes[4].actualYardage,holes[4].pinPlacement.x,holes[4].pinPlacement.y,holes[4].pinPlacement.z,holes[4].holeNo,holes[5].par,holes[5].officialYardage,holes[5].actualYardage,holes[5].pinPlacement.x,holes[5].pinPlacement.y,holes[5].pinPlacement.z,holes[5].holeNo,holes[6].par,holes[6].officialYardage,holes[6].actualYardage,holes[6].pinPlacement.x,holes[6].pinPlacement.y,holes[6].pinPlacement.z,holes[6].holeNo,holes[7].par,holes[7].officialYardage,holes[7].actualYardage,holes[7].pinPlacement.x,holes[7].pinPlacement.y,holes[7].pinPlacement.z,holes[7].holeNo,holes[8].par,holes[8].officialYardage,holes[8].actualYardage,holes[8].pinPlacement.x,holes[8].pinPlacement.y,holes[8].pinPlacement.z,holes[8].holeNo,holes[9].par,holes[9].officialYardage,holes[9].actualYardage,holes[9].pinPlacement.x,holes[9].pinPlacement.y,holes[9].pinPlacement.z,holes[9].holeNo,holes[10].par,holes[10].officialYardage,holes[10].actualYardage,holes[10].pinPlacement.x,holes[10].pinPlacement.y,holes[10].pinPlacement.z,holes[10].holeNo,holes[11].par,holes[11].officialYardage,holes[11].actualYardage,holes[11].pinPlacement.x,holes[11].pinPlacement.y,holes[11].pinPlacement.z,holes[11].holeNo,holes[12].par,holes[12].officialYardage,holes[12].actualYardage,holes[12].pinPlacement.x,holes[12].pinPlacement.y,holes[12].pinPlacement.z,holes[12].holeNo,holes[13].par,holes[13].officialYardage,holes[13].actualYardage,holes[13].pinPlacement.x,holes[13].pinPlacement.y,holes[13].pinPlacement.z,holes[13].holeNo,holes[14].par,holes[14].officialYardage,holes[14].actualYardage,holes[14].pinPlacement.x,holes[14].pinPlacement.y,holes[14].pinPlacement.z,holes[14].holeNo,holes[15].par,holes[15].officialYardage,holes[15].actualYardage,holes[15].pinPlacement.x,holes[15].pinPlacement.y,holes[15].pinPlacement.z,holes[15].holeNo,holes[16].par,holes[16].officialYardage,holes[16].actualYardage,holes[16].pinPlacement.x,holes[16].pinPlacement.y,holes[16].pinPlacement.z,holes[16].holeNo,holes[17].par,holes[17].officialYardage,holes[17].actualYardage,holes[17].pinPlacement.x,holes[17].pinPlacement.y,holes[17].pinPlacement.z,holes[17].holeNo
$.data.getGolfTournament.golfCourses[0].rounds,0,1303,ET-2229,Trump International Golf Links & Hotel Ireland,True,1,4,498,492,466447.4937313835,,5844520.249952211,1,4,434,428,466755.1343622173,,5844602.642771302,2,4,334,330,466746.01515489153,,5844933.082850687,3,5,592,588,467107.258158931,,5845353.871980896,4,4,390,380,466811.2968294185,,5845249.809736903,5,4,371,367,466852.23900487716,,5845635.249071994,6,3,225,227,466939.7891502221,,5845792.658904053,7,5,578,573,466740.8451885723,,5846308.049650018,8,3,167,161,466663.2408719432,,5846387.133232638,9,5,580,577,467091.89694519783,,5846290.652274879,10,3,186,178,467025.2168678267,,5846156.193446444,11,4,420,417,467078.745958902,,5845751.164032258,12,4,492,439,466826.7756636504,,5845385.49832618,13,3,137,129,466748.3138797926,,5845200.689520704,14,4,368,364,466693.74985827936,,5844960.466198782,15,3,211,189,466752.805859772,,5844717.580849682,16,4,393,387,466461.181593683,,5844405.609475702,17,4,462,424,466085.22637745563,,5844266.066134331,18
$.data.getGolfTournament.golfCourses[0].rounds,1,1303,ET-2229,Trump International Golf Links & Hotel Ireland,True,2,4,498,498,166021.44317933038,,0,1,4,434,434,166021.44317933038,,0,2,4,334,334,166021.44317933038,,0,3,5,592,592,166021.44317933038,,0,4,4,390,390,166021.44317933038,,0,5,4,371,371,166021.44317933038,,0,6,3,225,225,166021.44317933038,,0,7,5,578,578,166021.44317933038,,0,8,3,167,167,166021.44317933038,,0,9,5,580,580,166021.44317933038,,0,10,3,186,186,166021.44317933038,,0,11,4,420,420,166021.44317933038,,0,12,4,492,492,166021.44317933038,,0,13,3,137,137,166021.44317933038,,0,14,4,368,368,166021.44317933038,,0,15,3,211,211,166021.44317933038,,0,16,4,393,393,166021.44317933038,,0,17,4,462,462,166021.44317933038,,0,18
$.data.getGolfTournament.golfCourses[0].rounds,2,1303,ET-2229,Trump International Golf Links & Hotel Ireland,True,3,4,498,498,166021.44317933038,,0,1,4,434,434,166021.44317933038,,0,2,4,334,334,166021.44317933038,,0,3,5,592,592,166021.44317933038,,0,4,4,390,390,166021.44317933038,,0,5,4,371,371,166021.44317933038,,0,6,3,225,225,166021.44317933038,,0,7,5,578,578,166021.44317933038,,0,8,3,167,167,166021.44317933038,,0,9,5,580,580,166021.44317933038,,0,10,3,186,186,166021.44317933038,,0,11,4,420,420,166021.44317933038,,0,12,4,492,492,166021.44317933038,,0,13,3,137,137,166021.44317933038,,0,14,4,368,368,166021.44317933038,,0,15,3,211,211,166021.44317933038,,0,16,4,393,393,166021.44317933038,,0,17,4,462,462,166021.44317933038,,0,18
$.data.getGolfTournament.golfCourses[0].rounds,3,1303,ET-2229,Trump International Golf Links & Hotel Ireland,True,4,4,498,498,166021.44317933038,,0,1,4,434,434,166021.44317933038,,0,2,4,334,334,166021.44317933038,,0,3,5,592,592,166021.44317933038,,0,4,4,390,390,166021.44317933038,,0,5,4,371,371,166021.44317933038,,0,6,3,225,225,166021.44317933038,,0,7,5,578,578,166021.44317933038,,0,8,3,167,167,166021.44317933038,,0,9,5,580,580,166021.44317933038,,0,10,3,186,186,166021.44317933038,,0,11,4,420,420,166021.44317933038,,0,12,4,492,492,166021.44317933038,,0,13,3,137,137,166021.44317933038,,0,14,4,368,368,166021.44317933038,,0,15,3,211,211,166021.44317933038,,0,16,4,393,393,166021.44317933038,,0,17,4,462,462,166021.44317933038,,0,18
